Issue Type,Summary,Description,Epic Link,Story Points,Priority,Original Estimate,Component/s,Labels
Story,US-012: Solicitar Agendamento,Como cliente quero solicitar um agendamento,EP-005: Sistema de Agendamento,13,High,,Backend;Frontend,sprint3;mvp;agendamento
Sub-task,[BACK-018] Validações de agendamento,Verificar disponibilidade e conflitos,US-012: Solicitar Agendamento,,High,4h,Backend,backend;validacao
Sub-task,[BACK-019] Criar sistema de notificações,Notificar cliente e prestador,US-012: Solicitar Agendamento,,High,5h,Backend,backend;notificacoes
Sub-task,[FRONT-018] Modal de agendamento,Calendário com seleção de data/hora,US-012: Solicitar Agendamento,,High,6h,Frontend,frontend;forms
Sub-task,[FRONT-019] Integração com calendário,Exibir horários disponíveis,US-012: Solicitar Agendamento,,High,4h,Frontend,frontend;calendario
Story,US-013: Gerenciar Disponibilidade,Como prestador quero definir meus horários,EP-005: Sistema de Agendamento,8,High,,Backend;Frontend,sprint3;mvp;disponibilidade
Sub-task,[BACK-020] CRUD de disponibilidade,Endpoints com validação de sobreposição,US-013: Gerenciar Disponibilidade,,High,4h,Backend,backend;crud
Sub-task,[FRONT-020] Interface de gerenciamento de agenda,Calendário semanal interativo,US-013: Gerenciar Disponibilidade,,High,6h,Frontend,frontend;calendario
Story,US-014: Aceitar/Recusar Solicitações,Como prestador quero aceitar ou recusar solicitações,EP-005: Sistema de Agendamento,5,High,,Backend;Frontend,sprint3;mvp;agendamento
Sub-task,[BACK-021] Endpoints de resposta a agendamento,POST aceitar e recusar,US-014: Aceitar/Recusar Solicitações,,High,2h,Backend,backend;api
Sub-task,[FRONT-021] Interface de solicitações pendentes,Lista com botões de ação,US-014: Aceitar/Recusar Solicitações,,High,4h,Frontend,frontend;lista
Story,US-015: Acompanhar Status do Agendamento,Como usuário quero acompanhar o status,EP-005: Sistema de Agendamento,5,Medium,,Backend;Frontend,sprint3;agendamento
Sub-task,[BACK-022] Implementar máquina de estados,Histórico de mudanças de status,US-015: Acompanhar Status do Agendamento,,Medium,3h,Backend,backend;api
Sub-task,[FRONT-022] Componente de timeline,Stepper visual do status,US-015: Acompanhar Status do Agendamento,,Medium,4h,Frontend,frontend;timeline
Epic,EP-006: Sistema de Pagamentos,Processamento de pagamentos e gateway,,,High,,Backend;Frontend,sprint3;pagamentos
Story,US-016: Processar Pagamento,Como cliente quero pagar através da plataforma,EP-006: Sistema de Pagamentos,21,High,,Backend;Frontend,sprint3;mvp;pagamentos
Sub-task,[BACK-023] Integração com gateway,Configurar Stripe/Mercado Pago e webhook,US-016: Processar Pagamento,,High,10h,Backend,backend;integracao
Sub-task,[BACK-024] Implementar fluxo de pagamento,Criar processar e estornar pagamentos,US-016: Processar Pagamento,,High,6h,Backend,backend;pagamentos
Sub-task,[FRONT-023] Página de pagamento,Formulário com opções Pix/Débito/Crédito,US-016: Processar Pagamento,,High,8h,Frontend,frontend;pagamentos
Sub-task,[FRONT-024] Componente de status de pagamento,Indicador e modal de confirmação,US-016: Processar Pagamento,,High,3h,Frontend,frontend;status
Epic,EP-007: Sistema de Avaliações,Avaliações respostas e qualidade,,,High,,Backend;Frontend,sprint4;avaliacoes
Story,US-017: Avaliar Prestador,Como cliente quero avaliar o prestador,EP-007: Sistema de Avaliações,8,High,,Backend;Frontend,sprint4;mvp;avaliacoes
Sub-task,[BACK-025] Validar elegibilidade de avaliação,Apenas serviços concluídos,US-017: Avaliar Prestador,,High,2h,Backend,backend;validacao
Sub-task,[BACK-026] Atualizar média de avaliações,Recalcular média automaticamente,US-017: Avaliar Prestador,,High,2h,Backend,backend;calculo
Sub-task,[FRONT-025] Modal de avaliação,Estrelas e comentário,US-017: Avaliar Prestador,,High,4h,Frontend,frontend;forms
Sub-task,[FRONT-026] Exibir avaliações no perfil,Lista com paginação e filtros,US-017: Avaliar Prestador,,High,3h,Frontend,frontend;lista
Story,US-018: Responder Avaliações,Como prestador quero responder às avaliações,EP-007: Sistema de Avaliações,3,Low,,Backend;Frontend,sprint4;avaliacoes
Sub-task,[BACK-027] Adicionar resposta à avaliação,PUT /api/avaliacao/{id}/responder,US-018: Responder Avaliações,,Low,1h,Backend,backend;api
Sub-task,[FRONT-027] Interface de resposta,Campo de texto e exibição,US-018: Responder Avaliações,,Low,2h,Frontend,frontend;forms
Epic,EP-008: Sistema de Chat,Chat em tempo real,,,Medium,,Backend;Frontend,sprint4;chat
Story,US-019: Chat entre Cliente e Prestador,Como usuário quero conversar antes do agendamento,EP-008: Sistema de Chat,21,Medium,,Backend;Frontend,sprint4;chat
Sub-task,[BACK-028] Implementar SignalR,Configurar Hub e eventos de mensagens,US-019: Chat entre Cliente e Prestador,,Medium,8h,Backend,backend;signalr
Sub-task,[BACK-029] Endpoints de mensagens,GET conversas POST enviar,US-019: Chat entre Cliente e Prestador,,Medium,4h,Backend,backend;api
Sub-task,[FRONT-028] Componente de chat,Lista de conversas e janela de mensagens,US-019: Chat entre Cliente e Prestador,,Medium,8h,Frontend,frontend;chat
Sub-task,[FRONT-029] Notificações em tempo real,Badge com contador de não lidas,US-019: Chat entre Cliente e Prestador,,Medium,3h,Frontend,frontend;notificacoes
Epic,EP-009: Painel Administrativo,Dashboard métricas e verificações,,,Medium,,Backend;Frontend,sprint5;admin
Story,US-020: Dashboard Administrativo,Como admin quero visualizar métricas da plataforma,EP-009: Painel Administrativo,13,Medium,,Backend;Frontend,sprint5;admin
Sub-task,[BACK-030] Endpoints de métricas administrativas,Usuários agendamentos e receita,US-020: Dashboard Administrativo,,Medium,5h,Backend,backend;api
Sub-task,[BACK-031] Relatórios exportáveis,Endpoint para CSV/Excel,US-020: Dashboard Administrativo,,Medium,3h,Backend,backend;export
Sub-task,[FRONT-030] Dashboard administrativo,Gráficos e tabelas com filtros,US-020: Dashboard Administrativo,,Medium,8h,Frontend,frontend;dashboard
Story,US-021: Verificação de Prestadores,Como admin quero verificar documentação dos prestadores,EP-009: Painel Administrativo,8,High,,Backend;Frontend,sprint5;mvp;admin
Sub-task,[BACK-032] Sistema de verificação,Endpoints de aprovação e status,US-021: Verificação de Prestadores,,High,4h,Backend,backend;api
Sub-task,[FRONT-031] Interface de verificação,Lista e visualização de documentos,US-021: Verificação de Prestadores,,High,5h,Frontend,frontend;admin
Story,US-022: Suspensão Automática,Como sistema quero suspender prestadores com avaliações baixas,EP-009: Painel Administrativo,5,Medium,,Backend;Frontend,sprint5;admin
Sub-task,[BACK-033] Job de monitoramento,Background job para verificar avaliações,US-022: Suspensão Automática,,Medium,4h,Backend,backend;jobs
Sub-task,[FRONT-032] Notificação de suspensão,Banner de alerta no dashboard,US-022: Suspensão Automática,,Medium,2h,Frontend,frontend;notificacoes
Epic,EP-010: Histórico e Relatórios,Histórico de serviços e relatórios,,,Medium,,Backend;Frontend,sprint5;historico
Story,US-023: Histórico do Cliente,Como cliente quero visualizar histórico de serviços,EP-010: Histórico e Relatórios,5,Medium,,Backend;Frontend,sprint5;historico
Sub-task,[BACK-034] Endpoint de histórico,GET /api/cliente/historico com filtros,US-023: Histórico do Cliente,,Medium,2h,Backend,backend;api
Sub-task,[FRONT-033] Página de histórico,Lista de agendamentos passados,US-023: Histórico do Cliente,,Medium,4h,Frontend,frontend;lista
Story,US-024: Histórico do Prestador,Como prestador quero visualizar histórico de serviços,EP-010: Histórico e Relatórios,5,Medium,,Backend;Frontend,sprint5;historico
Sub-task,[BACK-035] Endpoint de histórico do prestador,GET /api/prestador/historico com valores,US-024: Histórico do Prestador,,Medium,2h,Backend,backend;api
Sub-task,[FRONT-034] Página de histórico do prestador,Lista com estatísticas,US-024: Histórico do Prestador,,Medium,4h,Frontend,frontend;lista
Task,INFRA-001: Configurar CI/CD,GitHub Actions com build e deploy,,,High,8h,DevOps,infra;cicd
Task,INFRA-002: Configurar banco MySQL,Migrations e seeds,,,High,4h,DevOps,infra;database
Task,INFRA-003: Ambiente de homologação,Deploy em servidor de staging,,,High,6h,DevOps,infra;deploy
Task,INFRA-004: Logging e monitoramento,Application Insights ou Sentry,,,Medium,4h,DevOps,infra;monitoring
Task,TEST-001: Testes unitários backend,Cobertura mínima de 70%,,,High,20h,Backend,testes;backend
Task,TEST-002: Testes de integração,Testes de endpoints da API,,,High,15h,Backend,testes;integracao
Task,TEST-003: Testes E2E frontend,Cypress ou Playwright,,,Medium,12h,Frontend,testes;e2e
Task,DOC-001: Documentação da API,Swagger com exemplos,,,Medium,8h,Backend,documentacao;api
Task,DOC-002: README e guias,Instruções de instalação e contribuição,,,Medium,4h,Documentação,documentacao;readme
